,ESTADO_DRENAJE,PROYECTO,SYMBOL,DISPERSION,NOMBRE_GEOGRAFICO,PK_CUE,CAMBIO,VIGENCIA,FECHA_MODIFICACION,HOJA,PK_CUE_CAMBIO,RULEID,OBJECT_ID_ORIGEN,SHAPE_LENGTH,GEOMETRY,ORIGIN_LAYER,TIPO,SHAPE_AREA,CODIGO_USO_EDIFICACION,ROTACION,CODIGO_NOMBRE,FUNCION_PUENTE,SITE_TYPE,DICTIONARY,GEO_DATABASE,GOOGLE_MAPS,OPEN_STREET_MAPS,AERIAL_PHOTOGRAPH,CARTOGRAPHIC_SHEET,LONGITUDE,LATITUDE
2196,,,1,,La Florida,7099662,,0,2016-08-30T00:00:00+00:00,281IIA,,10,,,POINT Z (-75.60538371896747 3.803638515267594 0),Construccion_P,,,4101,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.60538372,3.803638515
2389,,,1,,La Primavera,1294418,,0,2016-09-07T00:00:00+00:00,281IIC,,10,,,POINT Z (-75.67680853269616 3.698847081437642 0),Construccion_P,,,4101,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.67680853,3.698847081
1296,,,1,,Mirolindo,5521161,,0,2015-10-31T00:00:00+00:00,282IVC,,10,1002563,,POINT Z (-75.34212287616052 3.552400749482063 0),Construccion_P,,,4101,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.34212288,3.552400749
1643,,,1,,El Mandarino,1299978,,0,2015-04-28T00:00:00+00:00,263IIID,,10,,,POINT Z (-75.47160241075065 3.90861469305979 0),Construccion_P,,,4101,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.47160241,3.908614693
1946,,,1,,La Primavera,4865627,,0,2015-04-28T00:00:00+00:00,263IIID,,10,,,POINT Z (-75.46979023413448 3.884248745974572 0),Construccion_P,,,4101,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.46979023,3.884248746
2729,,,1,,Cuchilla Retiro,7073343,,0,2016-08-22T00:00:00+00:00,281IA,,1,,,POINT Z (-75.98786626936173 3.858325649803107 0),Orografia,,,,,8110,,Cuchilla,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.98786627,3.85832565
1747,,,1,,San Isidro,4864482,,0,2015-04-28T00:00:00+00:00,263IIID,,10,,,POINT Z (-75.48145416833054 3.94557590509942 0),Construccion_P,,,4101,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.48145417,3.945575905
2381,,,1,,La Sonrisa,7140159,,0,2016-09-07T00:00:00+00:00,281IIC,,10,,,POINT Z (-75.59750462615642 3.747601825724288 0),Construccion_P,,,4101,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.59750463,3.747601826
2671,,,1,,Farallones de Potrerito Batatas,5521790,,0,2015-11-01T00:00:00+00:00,282IVC,,1,8621,,POINT Z (-75.41023501820369 3.524799623114677 0),Orografia,,,,,8114,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.41023502,3.524799623
1488,,,1,,Hacienda Bonanza,1294427,,0,2015-04-23T00:00:00+00:00,282IID,,10,1046866,,POINT Z (-75.24578368114371 3.699399477440095 0),Construccion_P,,,4101,,,,Hacienda,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.24578368,3.699399477
1009,,,1,,Puesto de Salud,4710069,,0,2015-03-05T00:00:00+00:00,282IIA,,12,999321,,POINT Z (-75.33316015760043 3.811831311541804 0),Construccion_P,,,4119,,,,Puesto de salud,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.33316016,3.811831312
2270,,,1,,La Soledad,1297644,,0,2016-09-07T00:00:00+00:00,281IIC,1297644_CC_201609,10,,,POINT Z (-75.59647214647653 3.75154188930663 0),Construccion_P,,,4101,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.59647215,3.751541889
2045,,,1,,Las Delicias,4865932,,0,2015-04-28T00:00:00+00:00,263IIID,,10,,,POINT Z (-75.47210822512392 3.875605080546472 0),Construccion_P,,,4101,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-75.47210823,3.875605081
